loggingTime,loggingTimeElapsed,loggingSample,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationVerticalAccuracy,locationHorizontalAccuracy,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,altimeterTimestamp_sinceReboot,altimeterReset,altimeterRelativeAltitude,altimeterPressure
1591402890.13516,0,1,1591402876.20435,1.30128699869126,103.835955643589,17.39661,12.2071170806884,7013.64575555636,1591402890.09121,-16.3262939453125,-10.9812316894531,-24.031494140625,89.685546875,89.543113708496,13.0585088729858,210244.908945,0.093353271484375,-0.087203979492188,-1.00941467285156,210244.870279,-0.009914149530232,0.097620569169521,-0.005957757588476,210242.051987,1,-0.6024489,101.3028
1591402890.16085,0.025689840316773,2,1591402876.20435,1.30128699869126,103.835955643589,17.39661,12.2071170806884,7013.64575555636,1591402890.14107,-18.22509765625,-12.0178527832031,-23.1666870117187,91.1298675537109,90.987434387207,13.057499885559,210244.948861,0.08782958984375,-0.086685180664063,-1.00009155273437,210244.910195,-0.007189203519374,-0.032691635191441,-0.00932905357331,210242.051987,0,-0.6024489,101.3028
1591402890.2006,0.065439939498901,3,1591402876.20435,1.30128699869126,103.835955643589,17.39661,12.2071170806884,7013.64575555636,1591402890.19103,-19.077880859375,-12.4996948242187,-22.4059753417968,92.5133438110351,92.3709106445312,13.0565013885498,210244.988778,0.095321655273438,-0.0848388671875,-1.00834655761718,210244.950111,-0.010357566177845,0.041359424591064,-0.012283564545214,210242.051987,0,-0.6024489,101.3028
1591402890.2483,0.113139867782593,4,1591402876.20435,1.30128699869126,103.835955643589,17.39661,12.2071170806884,7013.64575555636,1591402890.24239,-19.9478759765625,-12.8372192382812,-21.3478088378906,93.8239669799804,93.6815338134765,13.0555114746093,210245.028694,0.092300415039063,-0.085418701171875,-1.00138854980468,210244.990028,-0.008353004232049,-0.002215217333287,-0.009148490615189,210242.051987,0,-0.6024489,101.3028
1591402890.2805,0.145339965820313,5,1591402876.20435,1.30128699869126,103.835955643589,17.39661,12.2071170806884,7013.64575555636,1591402890.24239,-19.9478759765625,-12.8372192382812,-21.3478088378906,93.8239669799804,93.6815338134765,13.0555114746093,210245.068611,0.091766357421875,-0.08270263671875,-0.991714477539062,210245.029944,-0.008471781387925,0.015264440327883,-0.007679224945605,210242.051987,0,-0.6024489,101.3028
1591402890.32029,0.185129880905151,6,1591402876.20435,1.30128699869126,103.835955643589,17.39661,12.2071170806884,7013.64575555636,1591402890.29078,-20.3935546875,-12.9145812988281,-20.6826477050781,95.0632019042968,94.9207687377929,13.0545330047607,210245.108527,0.086746215820313,-0.082794189453125,-0.998825073242187,210245.069861,-0.009394301101565,-0.013427391648293,-0.010094179771841,210242.051987,0,-0.6024489,101.3028
1591402890.36756,0.232400178909302,7,1591402876.20435,1.30128699869126,103.835955643589,17.39661,12.2071170806884,7013.64575555636,1591402890.341,-20.2135009765625,-13.3242492675781,-20.1346740722656,96.2667388916015,96.1243057250976,13.0535631179809,210245.148443,0.088668823242188,-0.084823608398438,-0.99737548828125,210245.109777,-0.008680307306349,0.006441121455282,-0.007232080213726,210242.051987,0,-0.6024489,101.3028
1591402890.40019,0.265030145645142,8,1591402876.20435,1.30128699869126,103.835955643589,17.39661,12.2071170806884,7013.64575555636,1591402890.39096,-20.3660888671875,-14.2276611328125,-19.1963500976562,97.4899826049804,97.3475494384765,13.0526037216186,210245.18836,0.0814208984375,-0.08251953125,-0.992645263671875,210245.149693,-0.007172957994044,-0.001215733005665,-0.008375375531614,210242.051987,0,-0.6024489,101.3028
1591402890.43999,0.304830074310303,9,1591402876.20435,1.30128699869126,103.835955643589,17.39661,12.2071170806884,7013.64575555636,1591402890.39096,-20.3660888671875,-14.2276611328125,-19.1963500976562,97.4899826049804,97.3475494384765,13.0526037216186,210245.228276,0.081893920898438,-0.080413818359375,-0.996673583984375,210245.18961,-0.010149306617677,0.001554487156682,-0.01187130715698,210242.051987,0,-0.6024489,101.3028
1591402890.49086,0.355700254440308,10,1591402876.20435,1.30128699869126,103.835955643589,17.39661,12.2071170806884,7013.64575555636,1591402890.44048,-23.1212158203125,-15.8561096191406,-17.6512451171875,98.6987609863281,98.5563278198242,13.0516529083252,210245.268193,0.083740234375,-0.078338623046875,-0.99945068359375,210245.229526,-0.005542570725083,0.010101902298629,-0.00941720418632,210242.051987,0,-0.6024489,101.3028
1591402890.51995,0.384789943695068,11,1591402876.20435,1.30128699869126,103.835955643589,17.39661,12.2071170806884,7013.64575555636,1591402890.49026,-27.28857421875,-17.1128845214843,-15.5433349609375,99.8169479370117,99.6745147705078,13.0507125854492,210245.308109,0.079696655273438,-0.080352783203125,-0.998031616210937,210245.269443,-0.00643206667155,0.007739412598312,-0.009465939365327,210242.051987,0,-0.6024489,101.3028
1591402890.5598,0.42464017868042,12,1591402876.20435,1.30128699869126,103.835955643589,17.39661,12.2071170806884,7013.64575555636,1591402890.54029,-29.33203125,-16.5844421386718,-14.4081726074218,100.762794494628,100.620361328125,13.049780845642,210245.348025,0.081573486328125,-0.083023071289063,-0.999008178710937,210245.309359,-0.007460845634341,0.01044678222388,-0.00928111653775,210242.051987,0,-0.6024489,101.3028
