Timestamp,X,Y,Z
0.005,1.1593877,0.032763764,9.5928
0.025,1.1598479,0.032901093,9.591911
0.045,1.1608104,0.033267226,9.590755
0.065,1.1617081,0.033756703,9.589293
0.086,1.1617081,0.033756703,9.589293
0.106,1.1648865,0.0335604,9.591813
0.126,1.165403,0.033231065,9.589669
0.146,1.1673332,0.03308519,9.590592
0.166,1.1692247,0.033322874,9.59128
0.187,1.1704547,0.033308186,9.590951
0.207,1.171946,0.033030592,9.591867
0.227,1.1728196,0.032712676,9.590784
0.247,1.1749114,0.032353114,9.5918255
0.268,1.17555,0.03269199,9.591088
0.288,1.1767449,0.033062365,9.58933
0.308,1.1777207,0.033305794,9.588385
0.328,1.1793568,0.03302075,9.589338
0.348,1.1800197,0.033371713,9.588147
0.369,1.1813575,0.033883393,9.588717
0.389,1.1816624,0.034207813,9.587836
0.409,1.1825289,0.034242734,9.5876875
0.429,1.1825392,0.03435952,9.587324
0.449,1.1828274,0.03424441,9.587443
0.47,1.1834886,0.034327433,9.588027
0.49,1.1842215,0.034359965,9.588487
0.51,1.1845167,0.034254774,9.588817
0.53,1.1847035,0.03413792,9.587638
0.55,1.1852679,0.033972118,9.587807
0.571,1.1858877,0.034456164,9.587141
0.591,1.1865505,0.034463927,9.588611
0.611,1.1867275,0.03455849,9.588312
0.631,1.1882858,0.035152014,9.589215
0.651,1.188352,0.03532767,9.588319
0.672,1.1895553,0.035638776,9.588744
0.692,1.1893163,0.035373293,9.588778
0.712,1.1908689,0.035412613,9.589663
0.732,1.190738,0.03534211,9.589165
0.752,1.1919056,0.035236858,9.589152
0.773,1.191997,0.035329,9.589018
0.793,1.1927949,0.035591662,9.589366
0.813,1.192949,0.035757635,9.589547
0.833,1.1936028,0.035827905,9.589629
0.853,1.1944482,0.03627465,9.589581
0.874,1.1951809,0.036173962,9.589177
0.894,1.1960185,0.03601246,9.589647
0.914,1.196794,0.036119707,9.589664
0.934,1.1978705,0.036271583,9.58952
0.954,1.1980727,0.036248982,9.587781
0.975,1.1986141,0.03599072,9.586764
0.995,1.1991175,0.03579406,9.58622
1.015,1.199888,0.035241712,9.587113
1.035,1.2003583,0.035392046,9.587284
1.055,1.201695,0.034870993,9.587264
1.076,1.2020969,0.03514889,9.58689
1.096,1.2029556,0.034996174,9.587322
1.116,1.2032502,0.035202835,9.586515
1.136,1.2043806,0.035093393,9.587276
1.156,1.2043496,0.03513975,9.585723
1.177,1.2050371,0.034892403,9.585403
1.197,1.2048883,0.035013158,9.584879
1.217,1.2059668,0.03506362,9.586446
1.237,1.2056549,0.035123467,9.585552
1.257,1.2059563,0.035133876,9.585778
1.278,1.2060266,0.035165936,9.584906
1.298,1.206476,0.034898426,9.585708
1.318,1.2060505,0.03463615,9.585391
1.338,1.2065337,0.034649372,9.585465
1.359,1.20666,0.03426916,9.58506
1.379,1.2067313,0.03407152,9.584805
1.399,1.2071574,0.03421661,9.585184
1.419,1.2069972,0.034211215,9.585425
1.439,1.2075882,0.034625348,9.587627
1.46,1.2072523,0.034925487,9.586967
1.48,1.2069103,0.035224855,9.586568
1.5,1.2059275,0.035265516,9.585749
1.52,1.20601,0.03504237,9.585825
1.54,1.2048339,0.035022903,9.586951
1.561,1.2043532,0.035521775,9.587423
1.581,1.203122,0.03560668,9.586471
1.601,1.2027847,0.035885975,9.587658
1.621,1.2016457,0.035664648,9.588069
1.641,1.2003473,0.035754066,9.587923
1.662,1.1992644,0.035588317,9.587742
1.682,1.1976554,0.035460256,9.587172
1.702,1.1971546,0.035464484,9.587424
1.722,1.1962483,0.03536617,9.586736
1.742,1.1960976,0.035540797,9.588252
1.763,1.1957008,0.035324745,9.5882015
1.783,1.1953758,0.035409328,9.588515
1.803,1.1944509,0.034983754,9.586608
1.823,1.1943209,0.034697775,9.5871315
1.843,1.1939635,0.034417074,9.586825
1.864,1.193998,0.034425627,9.586906
1.884,1.1933326,0.034591585,9.586514
1.904,1.1938523,0.034358222,9.586721
1.924,1.1933409,0.034422986,9.586912
1.944,1.1937994,0.034241464,9.586779
1.965,1.1932683,0.034096587,9.586497
1.985,1.193717,0.034169335,9.587098
2.005,1.1935669,0.034360316,9.586935
2.025,1.193733,0.034232486,9.587431
2.045,1.1930617,0.034696475,9.58644
2.066,1.1934669,0.034345184,9.587412
2.086,1.1933248,0.034504864,9.586724
2.106,1.192963,0.034741573,9.587324
2.126,1.1926924,0.034838114,9.586734
2.146,1.1922578,0.0351147,9.586731
2.167,1.1922102,0.035151385,9.586105
2.187,1.191764,0.035114918,9.585525
2.207,1.1919345,0.035025854,9.587174
2.227,1.1914233,0.035219226,9.586928
2.247,1.1917806,0.035116576,9.587381
2.268,1.1911186,0.03502562,9.586167
2.288,1.1916387,0.034996897,9.58752
2.308,1.190961,0.034652747,9.586656
2.328,1.1917679,0.034770995,9.5887985
2.349,1.190429,0.034821574,9.58788
2.369,1.1912103,0.034895953,9.589111
2.389,1.1906202,0.034851637,9.588081
2.409,1.1915916,0.034835957,9.589409
2.429,1.1917347,0.034929484,9.589581
2.45,1.1923788,0.03451317,9.588648
2.47,1.1922965,0.034663677,9.587778
2.49,1.1929706,0.034488473,9.587313
2.51,1.1932145,0.034144316,9.588532
2.53,1.1934016,0.034095954,9.58729
2.551,1.1941032,0.034262847,9.58767
2.571,1.1941433,0.034042194,9.587072
2.591,1.1948858,0.033878777,9.587962
2.611,1.1948453,0.033567537,9.587235
2.631,1.1958784,0.033147614,9.588219
2.652,1.1957501,0.032800227,9.58664
2.672,1.1965543,0.03283432,9.586004
2.692,1.1961019,0.033295408,9.585401
2.712,1.1971723,0.03370532,9.585839
2.733,1.1974577,0.03388499,9.585246
2.753,1.1984841,0.03414392,9.585762
2.773,1.1989641,0.034658905,9.586227
2.793,1.1997259,0.03488983,9.586501
2.813,1.2004261,0.03553357,9.586874
2.833,1.2015384,0.03607666,9.5866995
2.854,1.2019753,0.037232153,9.58675
2.874,1.2023221,0.037997585,9.5867605
2.894,1.2032576,0.03900597,9.587013
