,TimeStamp,TimeElapsed,Category,Acc-X,Acc-Y,Acc-Z,TimeInterval,Acc-Y-Adjusted,V-btw2,V(t),S-btw2,S(t)
0,1595636607.61845,0.0,Acceleration,0.039520263671875,0.0050201416015625,-0.9991302490234376,0.0,-0.0016399129231770835,0.0,0.0,0.0,0.0
1,1595636607.631866,1.3416051864624024e-05,Acceleration,0.0420379638671875,0.0070037841796875,-1.006484985351562,1.3416051864624024e-05,-0.006215718587239584,-5.269577988656238e-08,-5.269577988656238e-08,-3.534846580024662e-13,-3.534846580024662e-13
2,1595636607.671869,5.341911315917969e-05,Acceleration,0.040985107421875,0.0069580078125,-1.003921508789062,4.000306129455567e-05,-0.010761617024739583,-3.3957269855212266e-07,-3.92268478438685e-07,-8.899966249835688e-12,-9.253450907838154e-12
3,1595636607.7240539,0.00010560393333435059,Acceleration,0.0401458740234375,0.0072021484375,-1.003326416015625,5.2184820175170896e-05,-0.015467020670572915,-6.843683707847957e-07,-1.0766368492234807e-06,-3.8327280189200296e-11,-4.758073109703845e-11
4,1595636607.751666,0.00013321614265441895,Acceleration,0.03973388671875,0.008544921875,-1.009628295898438,2.7612209320068364e-05,-0.021049702962239583,-5.04153708316153e-07,-1.5807905575396338e-06,-3.668872090421479e-11,-8.426945200125323e-11
5,1595636607.791477,0.00017302703857421874,Acceleration,0.0388336181640625,0.0087890625,-1.004638671875,3.981089591979979e-05,-0.026791890462239582,-9.523083482296589e-07,-2.5330989057692928e-06,-8.188881262467634e-11,-1.661582646259296e-10
6,1595636607.845,0.00022655010223388673,Acceleration,0.0387115478515625,0.00982666015625,-1.005203247070312,5.352306365966799e-05,-0.03321197509765625,-1.6057953580942318e-06,-4.138894263863525e-06,-1.7855275757756364e-10,-3.4471102220349323e-10
7,1595636607.8714259,0.0002529759407043457,Acceleration,0.039215087890625,0.009552001953125,-1.005340576171875,2.6425838470458976e-05,-0.039452616373697916,-9.60111378371948e-07,-5.099005642235473e-06,-1.2205962536242014e-10,-4.667706475659133e-10
8,1595636607.911273,0.00029282307624816896,Acceleration,0.0385284423828125,0.0076141357421875,-1.003036499023438,3.984713554382326e-05,-0.04442718505859375,-1.6711849085307533e-06,-6.770190550766227e-06,-2.364767347493849e-10,-7.032473823152982e-10
9,1595636607.968387,0.00034993696212768554,Acceleration,0.03924560546875,0.00714111328125,-1.002517700195312,5.7113885879516574e-05,-0.04909271240234375,-2.670642375524038e-06,-9.440832926290264e-06,-4.629372724293842e-10,-1.1661846547446824e-09
10,1595636607.9911618,0.0003727118968963623,Acceleration,0.0395965576171875,0.0067138671875,-1.003021240234375,2.277493476867678e-05,-0.05347910563151042,-1.1680332324128067e-06,-1.060886615870307e-05,-2.2831529439616086e-10,-1.3944999491408431e-09
11,1595636608.0310268,0.00041257691383361815,Acceleration,0.03948974609375,0.006591796875,-1.0013427734375,3.9865016937255836e-05,-0.05778574625651042,-2.2177876025186064e-06,-1.2826653761221678e-05,-4.671286992705984e-10,-1.8616286484114415e-09
12,1595636608.084318,0.0004658679962158203,Acceleration,0.039825439453125,0.0047149658203125,-1.000656127929688,5.329108238220215e-05,-0.060866190592447925,-3.161545070712843e-06,-1.5988198831934522e-05,-7.677873416864491e-10,-2.6294159900978905e-09
13,1595636608.110918,0.0004924681186676026,Acceleration,0.0415802001953125,0.0044403076171875,-1.000106811523438,2.660012245178227e-05,-0.06376719156901042,-1.657631613537284e-06,-1.7645830445471807e-05,-4.473346486629192e-10,-3.07675063876081e-09
14,1595636608.150693,0.000532243013381958,Acceleration,0.04205322265625,0.00482177734375,-0.9998779296875,3.977489471435546e-05,-0.06691741943359375,-2.59898332170754e-06,-2.0244813767179345e-05,-7.535481921086508e-10,-3.830298830869461e-09
15,1595636608.203995,0.0005855450630187989,Acceleration,0.0435638427734375,0.0040130615234375,-1.003173828125,5.330204963684083e-05,-0.06625946044921875,-3.549300330996631e-06,-2.3794114098175975e-05,-1.1736825595162113e-09,-5.003981390385672e-09
16,1595636608.231011,0.0006125609874725341,Acceleration,0.0438995361328125,0.004302978515625,-1.004730224609375,2.7015924453735267e-05,-0.06449493408203125,-1.7662254223250726e-06,-2.5560339520501048e-05,-6.666780952087798e-10,-5.670659485594452e-09
17,1595636608.270447,0.0006519970893859863,Acceleration,0.0438232421875,0.0059051513671875,-1.00518798828125,3.9436101913452185e-05,-0.06380706787109375,-2.5298654123616894e-06,-2.8090204932862737e-05,-1.0578841693875255e-09,-6.728543654981978e-09
18,1595636608.324742,0.0007062921524047852,Acceleration,0.0427703857421875,0.0067901611328125,-1.0067138671875,5.429506301879883e-05,-0.06353790283203126,-3.4571016047266317e-06,-3.154730653758937e-05,-1.6190112217862676e-09,-8.347554876768245e-09
19,1595636608.350401,0.0007319509983062744,Acceleration,0.0414276123046875,0.008636474609375,-1.006820678710938,2.565884590148928e-05,-0.06359771728515626,-1.6310766425885974e-06,-3.317838318017796e-05,-8.303932491679005e-10,-9.177948125936147e-09
20,1595636608.39021,0.0007717599868774414,Acceleration,0.04071044921875,0.009368896484375,-1.004486083984375,3.980898857116699e-05,-0.06397654215494793,-2.5393011180131006e-06,-3.5717684298191066e-05,-1.3713413814223713e-09,-1.0549289507358518e-08
21,1595636608.445824,0.00082737398147583,Acceleration,0.0401458740234375,0.0100860595703125,-1.005401611328125,5.5613994598388604e-05,-0.06414601643880208,-3.5627036407822695e-06,-3.9280387938973334e-05,-2.0854711921436096e-09,-1.2634760699502128e-08
22,1595636608.470135,0.0008516850471496582,Acceleration,0.0391845703125,0.0102691650390625,-1.003677368164062,2.4311065673828197e-05,-0.06461456298828125,-1.5651534513259972e-06,-4.084554139029933e-05,-9.739733650502325e-10,-1.360873406455236e-08
23,1595636608.50996,0.000891510009765625,Acceleration,0.0386505126953125,0.0083160400390625,-1.000396728515625,3.98249626159668e-05,-0.06507314046223958,-2.5824039708337903e-06,-4.342794536113312e-05,-1.6780942296964855e-09,-1.5286828294248845e-08
24,1595636608.5656788,0.0009472289085388183,Acceleration,0.03753662109375,0.008758544921875,-1.000778198242188,5.5718898773193305e-05,-0.06612986246744793,-3.6552434194891215e-06,-4.708318878062224e-05,-2.5215903605456937e-09,-1.780841865479454e-08
25,1595636608.5899448,0.0009714949131011963,Acceleration,0.0377960205078125,0.0084228515625,-1.002197265625,2.426600456237793e-05,-0.06724639892578124,-1.6182544837405052e-06,-4.870144326436275e-05,-1.1621551591046485e-09,-1.8970573813899187e-08
