,TimeStamp,TimeElapsed,Category,Acc-X,Acc-Y,Acc-Z,TimeInterval,Acc-Y-Adjusted,V-btw2,V(t),S-btw2,S(t)
0,1591401233.23,0.0,Acceleration,0.1459350586,0.0597076416,-0.9885406494,0.0,0.5361648264603037,0.0,0.0,0.0,0.0
1,1591401233.27,0.039999961853027344,Acceleration,0.1455078125,0.05316162109,-0.9936676025,0.039999961853027344,0.5014325673481703,0.02075192808556978,0.02075192808556978,0.00041503816589977895,0.00041503816589977895
2,1591401233.31,0.07999992370605469,Acceleration,0.1497344971,0.04014587402,-0.9948883057,0.039999961853027344,0.47520392965510366,0.019532711312202605,0.04028463939777238,0.0012207301854867078,0.0016357683513864866
3,1591401233.35,0.11999988555908203,Acceleration,0.1467132568,0.03277587891,-0.9980316162,0.039999961853027344,0.45379035543390367,0.018579867982620353,0.058864507380392735,0.001982981044443407,0.0036187493958298933
4,1591401233.39,0.16000008583068848,Acceleration,0.1505279541,0.02603149414,-0.9998931885,0.040000200271606445,0.43678311259577035,0.01781155853888303,0.07667606591927577,0.0027108250384575466,0.00632957443428744
5,1591401233.43,0.20000004768371582,Acceleration,0.1505432129,0.0066070556640000005,-0.9986877440999999,0.039999961853027344,0.4324665028952903,0.017384975730200557,0.09406104164947632,0.003414738894823155,0.009744313329110596
6,1591401233.47,0.24000000953674316,Acceleration,0.1502227783,-0.0045776367190000005,-0.9996490479000001,0.039999961853027344,0.4354572255517037,0.017358458014608513,0.11141949966408483,0.004109606907040928,0.013853920236151524
7,1591401233.51,0.2799999713897705,Acceleration,0.1500396729,-0.005310058594,-0.9962005615,0.039999961853027344,0.438926463833117,0.01748765711015107,0.1289071567742359,0.004806528544899219,0.01866044878105074
8,1591401233.55,0.31999993324279785,Acceleration,0.1505584717,-0.01391601563,-0.9910583495999999,0.039999961853027344,0.4480182607113837,0.017738877573761937,0.14664603434799783,0.0055110585666846516,0.02417150734773539
9,1591401233.59,0.3599998950958252,Acceleration,0.1483459473,-0.01753234863,-0.9880828856999999,0.039999961853027344,0.4594727284829837,0.018149802474870372,0.1647958368228682,0.006228831483135049,0.03040033883087044
10,1591401233.63,0.40000009536743164,Acceleration,0.1496276855,-0.01271057129,-0.9880523682,0.040000200271606445,0.4677769683924503,0.018545086788401863,0.18334092361127005,0.006962770069636901,0.03736310890050734
11,1591401233.67,0.440000057220459,Acceleration,0.1484375,-0.0158996582,-0.9844818115,0.039999961853027344,0.478164745083117,0.018918816227105006,0.20225973983837506,0.007712005914243919,0.04507511481475126
12,1591401233.71,0.48000001907348633,Acceleration,0.1487121582,-0.01234436035,-0.9856872559000001,0.039999961853027344,0.48622972717845037,0.019287871050866566,0.22154761088924163,0.008476138931068623,0.053551253745819885
13,1591401233.75,0.5199999809265137,Acceleration,0.1482391357,-0.005401611328,-0.9872894287,0.039999961853027344,0.4897587799127437,0.019519751526320434,0.24106736241556206,0.009252290642415706,0.06280354438823559
14,1591401233.79,0.559999942779541,Acceleration,0.1504516602,-0.003814697266,-0.9927673340000001,0.039999961853027344,0.49225104879319703,0.019640177843767773,0.26070754025932985,0.010035488482901091,0.07283903287113667
15,1591401233.83,0.5999999046325684,Acceleration,0.1503601074,-0.001510620117,-0.9920654297,0.039999961853027344,0.532246979781637,0.020489941030747538,0.2811974812900774,0.010838090094970125,0.0836771229661068
16,1591401233.87,0.6399998664855957,Acceleration,0.1505126953,0.001480102539,-0.9957885742,0.039999961853027344,0.5660122385682903,0.02196516341936636,0.30316264470944376,0.011687191374205548,0.09536431434031234
17,1591401233.91,0.6800000667572021,Acceleration,0.1502838135,-0.00439453125,-0.9998626709,0.040000200271606445,0.5951119700113571,0.023222600441698216,0.326385245151142,0.012591020837495333,0.10795533517780767
18,1591401233.95,0.7200000286102295,Acceleration,0.1504974365,-0.012359619140000002,-0.9995422362999999,0.039999961853027344,0.6246004954040236,0.024394226044138583,0.3507794711952806,0.01354328141103649,0.12149861658884416
19,1591401234.0,0.7699999809265137,Acceleration,0.1522674561,-0.02067565918,-1.002578735,0.04999995231628418,0.6551158355730904,0.03199287776361292,0.3827723489588935,0.018338778014616086,0.13983739460346023
20,1591401234.03,0.7999999523162842,Acceleration,0.1524810791,-0.03266906738,-1.004013062,0.029999971389770508,0.680776235961837,0.02003836196293454,0.402810710921828,0.011783734660355009,0.15162112926381524
21,1591401234.07,0.8399999141693115,Acceleration,0.1544952393,-0.03868103027,-1.001159668,0.039999961853027344,0.7030571197484903,0.027676640719679957,0.430487351641508,0.016665945357367516,0.16828707462118275
22,1591401234.11,0.8799998760223389,Acceleration,0.1518554688,-0.04122924805,-0.9978332520000001,0.039999961853027344,0.7265243235264104,0.028591601598395897,0.4590789532399039,0.017791309130497483,0.18607838375168023
23,1591401234.15,0.9200000762939453,Acceleration,0.1527557373,-0.03887939453,-0.9928436279,0.040000200271606445,0.7428337310744104,0.029387308227365436,0.48846626146726935,0.018950999177344628,0.20502938292902487
24,1591401234.19,0.9600000381469727,Acceleration,0.1516723633,-0.03392028809,-0.9912719727,0.039999961853027344,0.753540518188277,0.029927456444179965,0.5183937179114493,0.02013718038324432,0.2251665633122692
25,1591401234.23,1.0,Acceleration,0.150177002,-0.02565002441,-0.9877624512000001,0.039999961853027344,0.761994294226677,0.03031066734176656,0.5487043852532159,0.021341941710012222,0.24650850502228142
26,1591401234.27,1.0399999618530273,Acceleration,0.1507263184,-0.01457214355,-0.9856109619,0.039999961853027344,0.7611269846553437,0.030462396526407528,0.5791667817796233,0.0225574018282215,0.2690659068505029
