,TimeStamp,TimeElapsed,Category,Acc-X,Acc-Y,Acc-Z,TimeStamp,TimeElapsed,Category,Acc-X,Acc-Y,Acc-Z,Average Y,TimeInterval,Acc-Y-Adjusted,V-btw2,V(t),S-btw2,S(t)
0,1591401226.88,0.8600001335144043,Acceleration,0.1444854736,0.05876159667999999,-0.9897460938,1591402890.99895,0.8637900352478027,Acceleration,0.08770751953125,-0.08612060546875,-0.9961090087890621,0.13419593810881875,0.028509855270385742,0.3108832418013069,0.009020426301673976,0.0,0.0,0.0
1,1591401226.92,0.9000000953674316,Acceleration,0.1455078125,0.05729675292999999,-0.9874267578,1591402891.03879,0.9036300182342529,Acceleration,0.085540771484375,-0.091018676757813,-0.9999542236328121,0.16540603637542278,0.039839982986450195,0.3219103108930017,0.013038994408658707,0.0,0.00017968681519460952,0.0
2,1591401226.97,0.9500000476837158,Acceleration,0.1498565674,0.05917358397999999,-0.9961700439,1591402891.089,0.9538400173187256,Acceleration,0.083541870117188,-0.092041015625,-0.991943359375,0.161214752218725,0.050209999084472656,0.3326579610409167,0.01696017448494353,0.009020426301673976,0.0007802595450092023,0.0
3,1591401227,0.9800000190734863,Acceleration,0.1421813965,0.05744934082000001,-0.9872436523,1591402891.11855,0.9833900928497314,Acceleration,0.0777587890625,-0.08880615234375,-0.9925079345703121,0.15380516052399376,0.02955007553100586,0.342911638409183,0.010280066250897817,0.022059420710332685,0.0009024447666851256,0.00017968681519460952
4,1591401227.04,1.019999980926514,Acceleration,0.1515350342,0.05914306641,-0.9889678955,1591402891.15851,1.02335000038147,Acceleration,0.082656860351563,-0.089569091796875,-0.9936981201171871,0.1492396545226219,0.0399599075317385,0.35286094871069107,0.014349322640385857,0.039019595195276216,0.001764614664332117,0.0009599463602038118
5,1591401227.09,1.069999933242798,Acceleration,0.1442718506,0.05627441406000001,-0.9868927002,1591402891.20975,1.074589967727661,Acceleration,0.079864501953125,-0.094390869140625,-1.00161743164062,0.18696121217046563,0.05123996734619096,0.3653250295220555,0.018999966236369657,0.04929966144617404,0.002893742454446892,0.0018623911268889374
6,1591401227.12,1.099999904632568,Acceleration,0.1444854736,0.05757141113,-0.991394043,1591402891.23848,1.103320121765137,Acceleration,0.082107543945313,-0.091079711914063,-1.00126647949218,0.16435821534582903,0.02873015403747603,0.3762822438784441,0.010978226095648826,0.06364898408655989,0.002101581095474598,0.0036270057912210544
7,1591401227.16,1.140000104904175,Acceleration,0.1429748535,0.0592956543,-0.9921417236,1591402891.27832,1.143159866333008,Acceleration,0.080703735351563,-0.094970703125,-1.01033020019531,0.17498611448662502,0.039839744567871094,0.3879479848442191,0.015682662094963468,0.08264895032292954,0.0035113979313976733,0.006520748245667946
8,1591401227.21,1.190000057220459,Acceleration,0.1515350342,0.05902099609,-0.9888916016,1591402891.32816,1.193000078201294,Acceleration,0.087448120117188,-0.093856811523438,-0.9967803955078121,0.17086967470101339,0.04984021186828591,0.3993392964909533,0.020213637016657765,0.09362717641857837,0.005057211910067186,0.008622329341142545
9,1591401227.24,1.220000028610229,Acceleration,0.1346740723,0.05386352539,-0.9926300049,1591402891.35856,1.223399877548218,Acceleration,0.085983276367188,-0.091964721679688,-1.00889587402343,0.18688636780091966,0.03039979934692405,0.4117983876776813,0.012688929004929642,0.10930983851354184,0.003630242412145319,0.012133727272540218
