TimeStamp,TimeElapsed,Category,Acc-X,Acc-Y,Acc-Z
1591402890.13516,0,Acceleration,0.093353271484375,-0.087203979492188,-1.00941467285156
1591402890.16085,0,Acceleration,0.08782958984375,-0.086685180664063,-1.00009155273437
1591402890.2006,0,Acceleration,0.095321655273438,-0.0848388671875,-1.00834655761718
1591402890.2483,0,Acceleration,0.092300415039063,-0.085418701171875,-1.00138854980468
1591402890.2805,0,Acceleration,0.091766357421875,-0.08270263671875,-0.991714477539062
1591402890.32029,0,Acceleration,0.086746215820313,-0.082794189453125,-0.998825073242187
1591402890.36756,0,Acceleration,0.088668823242188,-0.084823608398438,-0.99737548828125
1591402890.40019,0,Acceleration,0.0814208984375,-0.08251953125,-0.992645263671875
1591402890.43999,0,Acceleration,0.081893920898438,-0.080413818359375,-0.996673583984375
1591402890.49086,0,Acceleration,0.083740234375,-0.078338623046875,-0.99945068359375
1591402890.51995,0,Acceleration,0.079696655273438,-0.080352783203125,-0.998031616210937
1591402890.5598,0,Acceleration,0.081573486328125,-0.083023071289063,-0.999008178710937
1591402890.60935,0,Acceleration,0.082839965820313,-0.08514404296875,-0.999664306640625
1591402890.6397,0,Acceleration,0.086151123046875,-0.084732055664063,-1.00799560546875
1591402890.67967,0,Acceleration,0.086639404296875,-0.083969116210938,-1.00416564941406
1591402890.72738,0,Acceleration,0.090957641601563,-0.081039428710938,-1.003662109375
1591402890.7598,0,Acceleration,0.091583251953125,-0.080780029296875,-1.00279235839843
1591402890.79941,0,Acceleration,0.091522216796875,-0.08154296875,-0.999313354492187
1591402890.84703,0,Acceleration,0.091598510742188,-0.081649780273438,-0.991851806640625
1591402890.87917,0,Acceleration,0.090301513671875,-0.08135986328125,-0.99847412109375
1591402890.91923,0,Acceleration,0.09039306640625,-0.083953857421875,-0.999984741210937
1591402890.97044,0,Acceleration,0.089523315429688,-0.085617065429688,-0.9970703125
1591402890.99895,0,Acceleration,0.08770751953125,-0.08612060546875,-0.996109008789062
1591402891.03879,0,Acceleration,0.085540771484375,-0.091018676757813,-0.999954223632812
1591402891.089,0,Acceleration,0.083541870117188,-0.092041015625,-0.991943359375
1591402891.11855,0,Acceleration,0.0777587890625,-0.08880615234375,-0.992507934570312
1591402891.15851,0,Acceleration,0.082656860351563,-0.089569091796875,-0.993698120117187
1591402891.20975,0,Acceleration,0.079864501953125,-0.094390869140625,-1.00161743164062
1591402891.23848,0,Acceleration,0.082107543945313,-0.091079711914063,-1.00126647949218
1591402891.27832,0,Acceleration,0.080703735351563,-0.094970703125,-1.01033020019531
1591402891.32816,0,Acceleration,0.087448120117188,-0.093856811523438,-0.996780395507812
1591402891.35856,0,Acceleration,0.085983276367188,-0.091964721679688,-1.00889587402343
1591402891.39804,0,Acceleration,0.093048095703125,-0.09478759765625,-1.00068664550781
1591402891.44956,0,Acceleration,0.090591430664063,-0.09454345703125,-1.00300598144531
1591402891.47793,0,Acceleration,0.093673706054688,-0.096389770507813,-1.00318908691406
1591402891.51777,0,Acceleration,0.090621948242188,-0.098281860351563,-1.00521850585937
1591402891.56931,0,Acceleration,0.0897216796875,-0.095199584960938,-0.999130249023437
1591402891.59768,0,Acceleration,0.102935791015625,-0.090835571289063,-0.994888305664062
1591402891.63746,0,Acceleration,0.084915161132813,-0.094207763671875,-0.995285034179687
1591402891.69007,0,Acceleration,0.079681396484375,-0.098480224609375,-0.996231079101562
1591402891.71742,0,Acceleration,0.078231811523438,-0.100067138671875,-0.99072265625
1591402891.75722,0,Acceleration,0.081634521484375,-0.1007080078125,-0.9954833984375
1591402891.80687,0,Acceleration,0.080474853515625,-0.096527099609375,-0.995941162109375
1591402891.83717,0,Acceleration,0.083099365234375,-0.09716796875,-1.00242614746093
1591402891.87702,0,Acceleration,0.087860107421875,-0.101364135742187,-1.01029968261718
1591402891.92646,0,Acceleration,0.088790893554688,-0.101272583007812,-1.01423645019531
1591402891.9573,0,Acceleration,0.092697143554688,-0.100601196289062,-1.01246643066406
1591402891.99679,0,Acceleration,0.094757080078125,-0.095291137695313,-1.01533508300781
1591402892.04551,0,Acceleration,0.096969604492188,-0.092239379882813,-1.01022338867187
1591402892.0766,0,Acceleration,0.0928955078125,-0.097702026367188,-1.01142883300781
1591402892.11648,0,Acceleration,0.087722778320313,-0.097930908203125,-0.999923706054687
1591402892.16726,0,Acceleration,0.085678100585938,-0.100189208984375,-0.990921020507812
1591402892.19642,0,Acceleration,0.080886840820313,-0.09564208984375,-0.988296508789062
