loggingTime,loggingSample,identifierForVendor,deviceID,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationFloor,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,altimeterTimestamp_sinceReboot,altimeterReset,altimeterRelativeAltitude,altimeterPressure
1595636607.61845,1,0,0,1595636606.999924,1.370493736035993,103.8493519705093,12.04454,0,324.36054738165,43.907958984375,32.00483309472351,-9999,294383.73468975,0.039520263671875,0.0050201416015625,-0.9991302490234375,294380.693868,0,11.9882,100.6763
1595636607.631866,2,0,0,1595636606.999924,1.370493736035993,103.8493519705093,12.04454,0,324.36054738165,43.907958984375,32.00483309472351,-9999,294383.77460575,0.0420379638671875,0.0070037841796875,-1.006484985351562,294380.693868,0,11.9882,100.6763
1595636607.671869,3,0,0,1595636606.999924,1.370493736035993,103.8493519705093,12.04454,0,324.36054738165,43.907958984375,32.00483309472351,-9999,294383.81452175,0.040985107421875,0.0069580078125,-1.003921508789062,294380.693868,0,11.9882,100.6763
1595636607.724054,4,0,0,1595636606.999924,1.370493736035993,103.8493519705093,12.04454,0,324.36054738165,43.907958984375,32.00483309472351,-9999,294383.85443675,0.0401458740234375,0.0072021484375,-1.003326416015625,294380.693868,0,11.9882,100.6763
1595636607.751666,5,0,0,1595636606.999924,1.370493736035993,103.8493519705093,12.04454,0,324.36054738165,43.907958984375,32.00483309472351,-9999,294383.89435275,0.03973388671875,0.008544921875,-1.009628295898438,294380.693868,0,11.9882,100.6763
1595636607.791477,6,0,0,1595636606.999924,1.370493736035993,103.8493519705093,12.04454,0,324.36054738165,43.907958984375,32.00483309472351,-9999,294383.93426775,0.0388336181640625,0.0087890625,-1.004638671875,294380.693868,0,11.9882,100.6763
1595636607.845,7,0,0,1595636606.999924,1.370493736035993,103.8493519705093,12.04454,0,324.36054738165,43.907958984375,32.00483309472351,-9999,294383.97418375,0.0387115478515625,0.00982666015625,-1.005203247070312,294380.693868,0,11.9882,100.6763
1595636607.871426,8,0,0,1595636606.999924,1.370493736035993,103.8493519705093,12.04454,0,324.36054738165,43.907958984375,32.00483309472351,-9999,294384.01409975,0.039215087890625,0.009552001953125,-1.005340576171875,294380.693868,0,11.9882,100.6763
1595636607.911273,9,0,0,1595636606.999924,1.370493736035993,103.8493519705093,12.04454,0,324.36054738165,43.907958984375,32.00483309472351,-9999,294384.05401475,0.0385284423828125,0.0076141357421875,-1.003036499023438,294380.693868,0,11.9882,100.6763
1595636607.968387,10,0,0,1595636606.999924,1.370493736035993,103.8493519705093,12.04454,0,324.36054738165,43.907958984375,32.00483309472351,-9999,294384.09393075,0.03924560546875,0.00714111328125,-1.002517700195312,294380.693868,0,11.9882,100.6763
1595636607.991162,11,0,0,1595636606.999924,1.370493736035993,103.8493519705093,12.04454,0,324.36054738165,43.907958984375,32.00483309472351,-9999,294384.13384575,0.0395965576171875,0.0067138671875,-1.003021240234375,294381.649004,0,11.98292,100.6764
1595636608.031027,12,0,0,1595636606.999924,1.370493736035993,103.8493519705093,12.04454,0,324.36054738165,43.907958984375,32.00483309472351,-9999,294384.17376175,0.03948974609375,0.006591796875,-1.0013427734375,294381.649004,0,11.98292,100.6764
1595636608.084318,13,0,0,1595636606.999924,1.370493736035993,103.8493519705093,12.04454,0,324.36054738165,43.907958984375,32.00483309472351,-9999,294384.2136775417,0.039825439453125,0.0047149658203125,-1.000656127929688,294381.649004,0,11.98292,100.6764
1595636608.110918,14,0,0,1595636606.999924,1.370493736035993,103.8493519705093,12.04454,0,324.36054738165,43.907958984375,32.00483309472351,-9999,294384.2535925417,0.0415802001953125,0.0044403076171875,-1.000106811523438,294381.649004,0,11.98292,100.6764
1595636608.150693,15,0,0,1595636606.999924,1.370493736035993,103.8493519705093,12.04454,0,324.36054738165,43.907958984375,32.00483309472351,-9999,294384.2935085417,0.04205322265625,0.00482177734375,-0.9998779296875,294381.649004,0,11.98292,100.6764
1595636608.203995,16,0,0,1595636607.999921,1.370493736035993,103.8493519705093,12.04454,-1,324.36054738165,46.51038360595703,32.00483309472351,-9999,294384.3334235417,0.0435638427734375,0.0040130615234375,-1.003173828125,294381.649004,0,11.98292,100.6764
1595636608.231011,17,0,0,1595636607.999921,1.370493736035993,103.8493519705093,12.04454,-1,324.36054738165,46.51038360595703,32.00483309472351,-9999,294384.3733395417,0.0438995361328125,0.004302978515625,-1.004730224609375,294381.649004,0,11.98292,100.6764
1595636608.270447,18,0,0,1595636607.999921,1.370493736035993,103.8493519705093,12.04454,-1,324.36054738165,46.51038360595703,32.00483309472351,-9999,294384.4132555417,0.0438232421875,0.0059051513671875,-1.00518798828125,294381.649004,0,11.98292,100.6764
1595636608.324742,19,0,0,1595636607.999921,1.370493736035993,103.8493519705093,12.04454,-1,324.36054738165,46.51038360595703,32.00483309472351,-9999,294384.4531705417,0.0427703857421875,0.0067901611328125,-1.0067138671875,294381.649004,0,11.98292,100.6764
1595636608.350401,20,0,0,1595636607.999921,1.370493736035993,103.8493519705093,12.04454,-1,324.36054738165,46.51038360595703,32.00483309472351,-9999,294384.4930865417,0.0414276123046875,0.008636474609375,-1.006820678710938,294381.649004,0,11.98292,100.6764
1595636608.39021,21,0,0,1595636607.999921,1.370493736035993,103.8493519705093,12.04454,-1,324.36054738165,46.51038360595703,32.00483309472351,-9999,294384.5330015417,0.04071044921875,0.009368896484375,-1.004486083984375,294381.649004,0,11.98292,100.6764
1595636608.445824,22,0,0,1595636607.999921,1.370493736035993,103.8493519705093,12.04454,-1,324.36054738165,46.51038360595703,32.00483309472351,-9999,294384.5729175417,0.0401458740234375,0.0100860595703125,-1.005401611328125,294381.649004,0,11.98292,100.6764
1595636608.470135,23,0,0,1595636607.999921,1.370493736035993,103.8493519705093,12.04454,-1,324.36054738165,46.51038360595703,32.00483309472351,-9999,294384.6128335417,0.0391845703125,0.0102691650390625,-1.003677368164062,294381.649004,0,11.98292,100.6764
1595636608.50996,24,0,0,1595636607.999921,1.370493736035993,103.8493519705093,12.04454,-1,324.36054738165,46.51038360595703,32.00483309472351,-9999,294384.6527485417,0.0386505126953125,0.0083160400390625,-1.000396728515625,294381.649004,0,11.98292,100.6764
1595636608.565679,25,0,0,1595636607.999921,1.370493736035993,103.8493519705093,12.04454,-1,324.36054738165,46.51038360595703,32.00483309472351,-9999,294384.6926645417,0.03753662109375,0.008758544921875,-1.000778198242188,294381.649004,0,11.98292,100.6764
1595636608.589945,26,0,0,1595636607.999921,1.370493736035993,103.8493519705093,12.04454,-1,324.36054738165,46.51038360595703,32.00483309472351,-9999,294384.7325795417,0.0377960205078125,0.0084228515625,-1.002197265625,294381.649004,0,11.98292,100.6764
1595636608.629726,27,0,0,1595636607.999921,1.370493736035993,103.8493519705093,12.04454,-1,324.36054738165,46.51038360595703,32.00483309472351,-9999,294384.7724955417,0.03875732421875,0.00604248046875,-1.00140380859375,294381.649004,0,11.98292,100.6764
1595636608.686439,28,0,0,1595636607.999921,1.370493736035993,103.8493519705093,12.04454,-1,324.36054738165,46.51038360595703,32.00483309472351,-9999,294384.8124115417,0.0377349853515625,0.007232666015625,-1.0028076171875,294381.649004,0,11.98292,100.6764
1595636608.709625,29,0,0,1595636607.999921,1.370493736035993,103.8493519705093,12.04454,-1,324.36054738165,46.51038360595703,32.00483309472351,-9999,294384.8523265417,0.03839111328125,0.0056915283203125,-1.004913330078125,294381.649004,0,11.98292,100.6764
1595636608.749436,30,0,0,1595636607.999921,1.370493736035993,103.8493519705093,12.04454,-1,324.36054738165,46.51038360595703,32.00483309472351,-9999,294384.8922425417,0.0399017333984375,0.0057525634765625,-1.004837036132812,294381.649004,0,11.98292,100.6764
1595636608.804874,31,0,0,1595636607.999921,1.370493736035993,103.8493519705093,12.04454,-1,324.36054738165,46.51038360595703,32.00483309472351,-9999,294384.9321585417,0.0408477783203125,0.0055389404296875,-1.005401611328125,294381.649004,0,11.98292,100.6764
1595636608.82936,32,0,0,1595636607.999921,1.370493736035993,103.8493519705093,12.04454,-1,324.36054738165,46.51038360595703,32.00483309472351,-9999,294384.9720735417,0.0413970947265625,0.0058135986328125,-1.0054931640625,294381.649004,0,11.98292,100.6764
1595636608.869537,33,0,0,1595636607.999921,1.370493736035993,103.8493519705093,12.04454,-1,324.36054738165,46.51038360595703,32.00483309472351,-9999,294385.0119895417,0.041839599609375,0.00640869140625,-1.004501342773438,294381.649004,0,11.98292,100.6764
1595636608.926936,34,0,0,1595636607.999921,1.370493736035993,103.8493519705093,12.04454,-1,324.36054738165,46.51038360595703,32.00483309472351,-9999,294385.0519045417,0.041534423828125,0.007843017578125,-1.003402709960938,294381.649004,0,11.98292,100.6764
1595636608.949154,35,0,0,1595636607.999921,1.370493736035993,103.8493519705093,12.04454,-1,324.36054738165,46.51038360595703,32.00483309472351,-9999,294385.0918205417,0.0427398681640625,0.0071868896484375,-1.003021240234375,294382.604164,0,11.98292,100.6764
1595636608.988927,36,0,0,1595636607.999921,1.370493736035993,103.8493519705093,12.04454,-1,324.36054738165,46.51038360595703,32.00483309472351,-9999,294385.1317365417,0.0428009033203125,0.006744384765625,-1.003875732421875,294382.604164,0,11.98292,100.6764
1595636609.046626,37,0,0,1595636607.999921,1.370493736035993,103.8493519705093,12.04454,-1,324.36054738165,46.51038360595703,32.00483309472351,-9999,294385.1716515417,0.04095458984375,0.0064239501953125,-1.00408935546875,294382.604164,0,11.98292,100.6764
1595636609.068854,38,0,0,1595636607.999921,1.370493736035993,103.8493519705093,12.04454,-1,324.36054738165,46.51038360595703,32.00483309472351,-9999,294385.2115675417,0.041290283203125,0.00823974609375,-1.002456665039062,294382.604164,0,11.98292,100.6764
1595636609.108645,39,0,0,1595636607.999921,1.370493736035993,103.8493519705093,12.04454,-1,324.36054738165,46.51038360595703,32.00483309472351,-9999,294385.251483375,0.040924072265625,0.006500244140625,-1.001312255859375,294382.604164,0,11.98292,100.6764
1595636609.166394,40,0,0,1595636607.999921,1.370493736035993,103.8493519705093,12.04454,-1,324.36054738165,46.51038360595703,32.00483309472351,-9999,294385.291399375,0.041259765625,0.0067901611328125,-0.999908447265625,294382.604164,0,11.98292,100.6764
1595636609.188632,41,0,0,1595636608.999918,1.370493736035993,103.8493519705093,12.04454,0,324.36054738165,45.61322402954102,32.00483309472351,-9999,294385.331315375,0.0414276123046875,0.005645751953125,-0.9988861083984375,294382.604164,0,11.98292,100.6764
1595636609.228407,42,0,0,1595636608.999918,1.370493736035993,103.8493519705093,12.04454,0,324.36054738165,45.61322402954102,32.00483309472351,-9999,294385.371230375,0.04168701171875,0.0058135986328125,-0.9994049072265625,294382.604164,0,11.98292,100.6764
1595636609.286391,43,0,0,1595636608.999918,1.370493736035993,103.8493519705093,12.04454,0,324.36054738165,45.61322402954102,32.00483309472351,-9999,294385.411146375,0.041290283203125,0.006134033203125,-1.002182006835938,294382.604164,0,11.98292,100.6764
