loggingTime,loggingTimeElapsed,loggingSample,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationVerticalAccuracy,locationHorizontalAccuracy,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,altimeterTimestamp_sinceReboot,altimeterReset,altimeterRelativeAltitude,altimeterPressure,,,
1591401226.02,0,1,1591401220,1.301263484,103.835952,17.39661,12.20711708,7000.092435,1591401226,253.5717773,-2.039581299,-83.65963745,241.8532867,241.7108459,14.90377903,208580.7825,0.1445465088,0.05816650391,-0.9925079346,208580.7451,-0.01094266213,0.01379224472,-0.009339706041,208577.4417,1,-1.022578,101.298,,,1843
1591401226.04,0.02,2,1591401220,1.301263484,103.835952,17.39661,12.20711708,7000.092435,1591401226,253.5717773,-2.039581299,-83.65963745,241.8532867,241.7108459,14.90377903,208580.8224,0.1451873779,0.05863952637,-0.9873657227,208580.785,-0.01047794055,0.02468484081,-0.008700813167,208577.4417,0,-1.022578,101.298,,,2433
1591401226.08,0.06,3,1591401220,1.301263484,103.835952,17.39661,12.20711708,7000.092435,1591401226,253.7927246,-3.713577271,-83.5279541,241.8514862,241.7090454,14.90377522,208580.8623,0.145111084,0.05754089355,-0.9885406494,208580.8249,-0.01154746674,0.005966812372,-0.01104066707,208578.4,0,-0.9987969,101.2977,,,
1591401226.14,0.11,4,1591401220,1.301263484,103.835952,17.39661,12.20711708,7000.092435,1591401226,253.9477539,-5.096099854,-83.22689819,241.8495483,241.7071075,14.90377045,208580.9022,0.1474761963,0.05642700195,-0.9900512695,208580.8648,-0.01150006242,0.01028965507,-0.009744239971,208578.4,0,-0.9987969,101.2977,,,
1591401226.16,0.14,5,1591401220,1.301263484,103.835952,17.39661,12.20711708,7000.092435,1591401226,253.1333008,-6.169265747,-83.14855957,241.8481598,241.705719,14.90376663,208580.9422,0.1436157227,0.05830383301,-0.9877624512,208580.9047,-0.009753827006,0.01165905315,-0.008858206682,208578.4,0,-0.9987969,101.2977,,,
1591401226.20,0.18,6,1591401220,1.301263484,103.835952,17.39661,12.20711708,7000.092435,1591401226,252.2098389,-7.030334473,-82.79312134,241.8478851,241.7054443,14.90376186,208580.9821,0.1437225342,0.06088256836,-0.9933319092,208580.9447,-0.01100924145,0.008979380131,-0.009859289043,208578.4,0,-0.9987969,101.2977,,,
1591401226.25,0.23,7,1591401220,1.301263484,103.835952,17.39661,12.20711708,7000.092435,1591401226,250.4094238,-7.853683472,-82.54318237,241.8486176,241.7061768,14.90375805,208581.022,0.1453704834,0.0591583252,-0.9912261963,208580.9846,-0.009178584442,0.005821936298,-0.009777262807,208578.4,0,-0.9987969,101.2977,,,
1591401226.28,0.26,8,1591401220,1.301263484,103.835952,17.39661,12.20711708,7000.092435,1591401226,250.4094238,-7.853683472,-82.54318237,241.8486176,241.7061768,14.90375805,208581.0619,0.1468505859,0.05667114258,-0.9912719727,208581.0245,-0.006354302168,0.005077316426,-0.009492571466,208578.4,0,-0.9987969,101.2977,,,
1591401226.32,0.30,9,1591401220,1.301263484,103.835952,17.39661,12.20711708,7000.092435,1591401226,248.8820801,-8.450485229,-82.08755493,241.848526,241.7060852,14.90375423,208581.1018,0.1461181641,0.05690002441,-0.9871063232,208581.0644,-0.006817426067,0.006583866663,-0.01083400566,208578.4,0,-0.9987969,101.2977,,,
1591401226.37,0.35,10,1591401220,1.301263484,103.835952,17.39661,12.20711708,7000.092435,1591401226,247.0192871,-8.21257019,-82.14147949,241.8476105,241.7051697,14.90374947,208581.1417,0.1472167969,0.05960083008,-0.9889984131,208581.1043,-0.008180165663,0.008068579249,-0.008108792827,208578.4,0,-0.9987969,101.2977,,,
1591401226.40,0.38,11,1591401220,1.301263484,103.835952,17.39661,12.20711708,7000.092435,1591401226,245.3599854,-8.515274048,-81.82458496,241.849823,241.7073822,14.9037466,208581.1817,0.1423492432,0.05815124512,-0.9912719727,208581.1442,-0.01036182698,0.005009139888,-0.008416388184,208578.4,0,-0.9987969,101.2977,,,
1591401226.44,0.42,12,1591401220,1.301263484,103.835952,17.39661,12.20711708,7000.092435,1591401226,245.3599854,-8.515274048,-81.82458496,241.849823,241.7073822,14.9037466,208581.2216,0.1443939209,0.05787658691,-0.9901275635,208581.1842,-0.009515740909,0.002822151873,-0.01064518746,208578.4,0,-0.9987969,101.2977,,,
1591401226.49,0.47,13,1591401220,1.301263484,103.835952,17.39661,12.20711708,7000.092435,1591401226,242.848999,-9.726211548,-81.28964233,241.8484344,241.7059937,14.90374088,208581.2615,0.1435394287,0.05764770508,-0.9954986572,208581.2241,-0.01006941218,0.001084971824,-0.01036795229,208578.4,0,-0.9987969,101.2977,,,
1591401226.52,0.50,14,1591401220,1.301263484,103.835952,17.39661,12.20711708,7000.092435,1591401226,240.0742188,-9.941894531,-80.78384399,241.850708,241.7082672,14.90373802,208581.3014,0.1448669434,0.05854797363,-0.9922790527,208581.264,-0.008546084166,0.008318649605,-0.008735168725,208578.4,0,-0.9987969,101.2977,,,
1591401226.56,0.54,15,1591401220,1.301263484,103.835952,17.39661,12.20711708,7000.092435,1591401227,237.8015137,-9.195999146,-80.41217041,241.8506775,241.7082367,14.90373421,208581.3413,0.1435699463,0.05667114258,-0.9898071289,208581.3039,-0.01000975724,0.002352902899,-0.01065823715,208578.4,0,-0.9987969,101.2977,,,
1591401226.61,0.59,16,1591401220,1.301263484,103.835952,17.39661,12.20711708,7000.092435,1591401227,234.840332,-9.708999634,-80.0423584,241.8517914,241.7093506,14.90372944,208581.3812,0.1452636719,0.05769348145,-0.9912414551,208581.3438,-0.00450234022,0.006719954312,-0.009688845836,208578.4,0,-0.9987969,101.2977,,,
1591401226.64,0.62,17,1591401220,1.301263484,103.835952,17.39661,12.20711708,7000.092435,1591401227,234.840332,-9.708999634,-80.0423584,241.8517914,241.7093506,14.90372944,208581.4212,0.1446228027,0.05741882324,-0.9899597168,208581.3837,-0.007474960294,0.003949468024,-0.01015676372,208578.4,0,-0.9987969,101.2977,,,
1591401226.68,0.66,18,1591401220,1.301263484,103.835952,17.39661,12.20711708,7000.092435,1591401227,231.7122803,-9.88168335,-79.48168945,241.8518219,241.7093811,14.90372562,208581.4611,0.1483764648,0.05767822266,-0.9896697998,208581.4237,-0.008054730482,0.002955043456,-0.01085184887,208578.4,0,-0.9987969,101.2977,,,
1591401226.73,0.71,19,1591401220,1.301263484,103.835952,17.39661,12.20711708,7000.092435,1591401227,228.8868408,-9.611083984,-79.20291138,241.8492737,241.7068329,14.90372181,208581.501,0.1461029053,0.05810546875,-0.9908447266,208581.4636,-0.007993478328,0.002879942302,-0.009417204186,208578.4,0,-0.9987969,101.2977,,,
1591401226.76,0.74,20,1591401220,1.301263484,103.835952,17.39661,12.20711708,7000.092435,1591401227,226.1744385,-8.833343506,-78.54360962,241.8480682,241.7056274,14.90371895,208581.5409,0.1462860107,0.05773925781,-0.9896240234,208581.5035,-0.006889597513,0.003668237943,-0.008701079525,208578.4,0,-0.9987969,101.2977,,,
1591401226.80,0.78,21,1591401220,1.301263484,103.835952,17.39661,12.20711708,7000.092435,1591401227,223.2989502,-7.886917114,-78.0925293,241.8475189,241.7050781,14.90371513,208581.5808,0.1454315186,0.05879211426,-0.9907073975,208581.5434,-0.007909322158,0.003154780716,-0.01105238497,208578.4,0,-0.9987969,101.2977,,,
1591401226.85,0.83,22,1591401220,1.301263484,103.835952,17.39661,12.20711708,7000.092435,1591401227,220.0771484,-7.969467163,-77.26712036,241.8462067,241.7037659,14.90371227,208581.6208,0.1439971924,0.05975341797,-0.9888763428,208581.5833,-0.005286108237,0.0108393319,-0.0108904643,208578.4,0,-0.9987969,101.2977,,,
1591401226.88,0.86,23,1591401220,1.301263484,103.835952,17.39661,12.20711708,7000.092435,1591401227,220.0771484,-7.969467163,-77.26712036,241.8462067,241.7037659,14.90371227,208581.6607,0.1444854736,0.05876159668,-0.9897460938,208581.6233,-0.008535963483,-0.001320661628,-0.007295463234,208578.4,0,-0.9987969,101.2977,,,
1591401226.92,0.90,24,1591401220,1.301263484,103.835952,17.39661,12.20711708,7000.092435,1591401227,218.4605713,-7.330841064,-77.07601929,241.8472443,241.7048035,14.90370846,208581.7006,0.1455078125,0.05729675293,-0.9874267578,208581.6632,-0.008204400539,0.006802778691,-0.01118580904,208578.4,0,-0.9987969,101.2977,,,
1591401226.97,0.95,25,1591401220,1.301263484,103.835952,17.39661,12.20711708,7000.092435,1591401227,215.9827881,-7.886077881,-76.79910278,241.8477936,241.7053528,14.9037056,208581.7405,0.1498565674,0.05917358398,-0.9961700439,208581.7031,-0.007126885466,0.02344487235,-0.01064944826,208578.4,0,-0.9987969,101.2977,,,
1591401227.00,0.98,26,1591401220,1.301263484,103.835952,17.39661,12.20711708,7000.092435,1591401227,212.7227783,-8.096191406,-76.08630371,241.8483429,241.7059021,14.90370178,208581.7804,0.1421813965,0.05744934082,-0.9872436523,208581.743,-0.01062201802,0.007100786548,-0.01073280536,208578.4,0,-0.9987969,101.2977,,,
1591401227.04,1.02,27,1591401220,1.301263484,103.835952,17.39661,12.20711708,7000.092435,1591401227,212.7227783,-8.096191406,-76.08630371,241.8483429,241.7059021,14.90370178,208581.8203,0.1515350342,0.05914306641,-0.9889678955,208581.7829,-0.007740743924,-0.001666872529,-0.009326123632,208579.3581,0,-0.9935122,101.2976,,,
